time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.497603819184112e-07,5.768699024702663e-07,10.003664977787828,0.0004652451761186782,0.00031242266861486456,0.0,-2.9824024007791582e-05,4.721379010638426e-05,0.12215990995870718,0.019947003788008285,0.013990490021896194,0.0,443.43547101414475,444.58297683954606,442.9216920734806,444.55876966084065
0.12000000000000001,-1.2747415872184083e-05,1.9210954145008632e-05,10.016069000785606,0.0018388269240592336,0.0007894814134816741,0.0,-0.0004619332868948343,0.0007188057166721627,0.29127869425847114,0.02821484090982558,-0.008250891822876315,0.0,459.50554875750703,457.73923694213073,457.7188739254746,458.3762907879994
0.18,-5.492931854630865e-05,0.00010631285935996366,10.036123262966223,0.00390932345595818,0.0006169614254369904,0.0,-0.0009124855956077523,0.0023748494561944026,0.37717122075867116,0.044800460553559594,0.006148490139007825,0.0,432.327192449361,433.53859903755364,431.377497875796,432.77605532553355
0.23999999999999996,-0.00012416089038005026,0.0003419643257572777,10.062255701998613,0.006374872454792957,0.0006168032064319817,0.0,-0.0014189861434508383,0.005750571380219018,0.49386495155120336,0.03239664581484214,-0.016629331570380896,0.0,443.4782911579958,441.60370406033894,442.6406592191105,441.6197678977534
0.3,-0.00022261292271068657,0.0008903934635019103,10.104407501684069,0.008435474513005303,6.2823268655865725,0.0,-0.0016918902561639433,0.012827423572670974,0.9109565335040203,0.03797660115570278,-0.049509947093402285,0.0,529.2992131750634,527.0317025858682,528.3138873938063,528.6987054015407
0.36000000000000004,-0.000291519627712453,0.0018656852556807112,10.164627810429325,0.010354936286417704,6.27945443174827,0.0,-0.0002705524627499565,0.01992609272859533,1.0962247536863992,0.015996429168559527,-0.04478860262047564,0.0,464.00105644721293,464.3702210655227,464.73397806639645,463.00845187196785
0.4200000000000001,-0.00019762513865559866,0.0033352705977998847,10.238766871144056,0.011001808574005345,6.276464039080707,0.0,0.003760332827116724,0.029163798981070112,1.3747819077924672,-0.0025005411846870246,-0.06257435196659994,0.0,491.54330436525464,490.22224690043004,492.8160601277712,491.44699697289605
0.48000000000000015,0.00018248166028051173,0.005313596541250576,10.324425689383837,0.010603141181410258,6.272715461284221,0.0,0.009294688645988973,0.0367523748781586,1.4803781269353062,-0.016585844264743813,-0.062280994243503876,0.0,441.0402810636517,441.0616556120972,440.6707957810652,439.50513809687385
0.5400000000000001,0.0009503510281117821,0.007714876409662354,10.414423221207006,0.009484363127557849,6.269029101442854,0.0,0.01664548308672355,0.04319168542116995,1.5194850978201475,-0.023122990423956102,-0.05980773591235797,0.0,419.63942146331294,419.85109210030765,419.27880811358614,418.7105515378391
0.6000000000000002,0.0022585010583118055,0.010499503434290132,10.508826971371386,0.008429105360279188,6.265684519549366,0.0,0.027313783293682527,0.04950363415477602,1.6271548010432992,-0.008338989637188998,-0.048653470806030594,0.0,441.7405618379204,442.6571663839203,440.46626102412495,441.6871502128323
0.6600000000000003,0.004227203145829257,0.013622249617987681,10.607076722658624,0.00815496298981433,6.2624575262072675,0.0,0.03858397726184299,0.054553393510119355,1.64780213297479,0.0020685317850030666,-0.06677425319193095,0.0,414.7547920468334,413.15806944964993,412.9389378788279,413.8560125370319
0.7200000000000003,0.00707274260315509,0.017097649669893713,10.713003124505622,0.008403708594673986,6.2579705428122345,0.0,0.056766332449298344,0.06131327358259345,1.8827093404395003,0.008006621000859554,-0.09997100200301204,0.0,481.31720518199813,478.7940216909607,480.5830379718774,481.03280419292696
0.7800000000000004,0.011052773582002504,0.020961603762524636,10.830122119345084,0.008855966473941379,6.252286534768254,0.0,0.07652222101966064,0.0675331958992324,2.021004397119253,0.0065827315168320915,-0.08591249616315225,0.0,453.04336886346607,454.1647284442423,451.2321556546575,451.117086909172
0.8400000000000004,0.016247831669417526,0.02518306857010779,10.952688189101227,0.009505839140000916,6.2476228950103305,0.0,0.09710002236965828,0.07323133476162857,2.064436953656282,0.018202905099890632,-0.0650074178622282,0.0,420.9608390379757,422.76047393948465,423.1527462125938,424.15172533188417
0.9000000000000005,0.022837225519483976,0.029781271385277787,11.07992396458593,0.010877519520541945,6.243434102214913,0.0,0.12295603437975514,0.0801690650133562,2.1765299701924827,0.030845370952870387,-0.08175660670226573,0.0,446.58274659617445,445.21070194735825,443.5943729584007,444.63131466794897
0.9600000000000005,0.031060496250719733,0.03482460746445544,11.2136603456983,0.012498896689030481,6.238857555244119,0.0,0.1516293221521566,0.08811918021895827,2.2811213778896775,0.018005500467023573,-0.06710808747483825,0.0,442.4870358635028,443.6865417811735,443.73164397004285,442.6765530373306
1.0200000000000005,0.04102322410306058,0.040355977015286475,11.352048898829924,0.01423025620889451,6.234884415910905,0.0,0.1808351362102547,0.09639683720164467,2.331705840019541,0.044641856150405564,-0.06449841634065469,0.0,425.70623013540387,425.92599783697005,425.6959959468242,427.9693834387305
1.0800000000000005,0.05317344547243179,0.046531366447979394,11.50082094790587,0.01754867639248392,6.230426315217716,0.0,0.22465637280433268,0.1098393947990951,2.626695316182308,0.07088955659242029,-0.11593072415109361,0.0,501.4651392232023,497.7104098094121,499.7891486239054,501.7000303109815
1.1400000000000006,0.06782351628744915,0.05351922377527955,11.662412020925295,0.022334493380064657,6.2237336298665085,0.0,0.26438929383060034,0.1235697706461281,2.759305951635494,0.09331271183255618,-0.10397182283083295,0.0,454.2168571415172,455.1640887087986,452.53831716426083,454.3444373715605
